,Doğruluk,Kesinlik,Duyarlılık,F1,ROC-AUC,Süre (s)
Rastgele Orman,0.796875,0.7878787878787878,0.8125,0.8,0.87060546875,0.109
CNN (1B),0.796875,0.8064516129032258,0.78125,0.7936507936507936,0.837890625,
Gradyan Artırma,0.78125,0.75,0.84375,0.7941176470588235,0.833984375,0.096
Lojistik Regresyon,0.78125,0.7647058823529411,0.8125,0.7878787878787878,0.8828125,0.002
Destek Vektör Makinesi,0.75,0.7352941176470589,0.78125,0.7575757575757576,0.8837890625,0.007
Yapay Sinir Ağı,0.75,0.7857142857142857,0.6875,0.7333333333333333,0.876953125,0.098
Eşikli Lineer Regresyon,0.75,0.7105263157894737,0.84375,0.7714285714285715,0.873046875,
K-En Yakın Komşu,0.671875,0.6410256410256411,0.78125,0.704225352112676,0.7080078125,0.0
Karar Ağacı,0.65625,0.6470588235294118,0.6875,0.6666666666666666,0.65625,0.002
Naive Bayes,0.640625,0.5818181818181818,1.0,0.735632183908046,0.75244140625,0.0
